date,window_start,predict_from,predict_to,given_end_price,actual_close,predicted_close
2026-07-07,10:05,12:00,12:10,24521.2,24504.8,24510.537
2026-07-07,10:15,12:10,12:20,24504.8,24493.65,24505.61
2026-07-07,10:25,12:20,12:30,24493.65,24474.0,24487.967
2026-07-07,10:35,12:30,12:40,24474.0,24472.4,24480.693
2026-07-07,10:45,12:40,12:50,24472.4,24463.65,24471.15
2026-07-07,10:55,12:50,13:00,24463.65,24460.65,24453.984
2026-07-07,11:05,13:00,13:10,24460.65,24436.45,24469.156
2026-07-07,11:15,13:10,13:20,24436.45,24426.1,24430.736
2026-07-07,11:25,13:20,13:30,24426.1,24431.15,24423.701
2026-07-07,11:35,13:30,13:40,24431.15,24438.2,24449.414
2026-07-07,11:45,13:40,13:50,24438.2,24435.4,24441.002
2026-07-07,11:55,13:50,14:00,24435.4,24453.4,24431.76
2026-07-07,12:05,14:00,14:10,24453.4,24461.4,24435.639
2026-07-07,12:15,14:10,14:20,24461.4,24448.35,24456.896
2026-07-07,12:25,14:20,14:30,24448.35,24459.0,24446.094
2026-07-07,12:35,14:30,14:40,24459.0,24465.6,24453.242
2026-07-07,12:45,14:40,14:50,24465.6,24464.4,24461.662
2026-07-07,12:55,14:50,15:00,24464.4,24426.9,24462.459
2026-07-07,13:05,15:00,15:10,24426.9,24397.85,24423.393
2026-07-07,13:15,15:10,15:20,24397.85,24368.7,24412.746
2026-07-08,09:15,11:10,11:20,24290.55,24286.5,24283.275
2026-07-08,09:25,11:20,11:30,24286.5,24269.5,24280.928
2026-07-08,09:35,11:30,11:40,24269.5,24259.0,24267.791
2026-07-08,09:45,11:40,11:50,24259.0,24252.85,24254.037
2026-07-08,09:55,11:50,12:00,24252.85,24234.95,24247.371
2026-07-08,10:05,12:00,12:10,24234.95,24222.4,24219.111
2026-07-08,10:15,12:10,12:20,24222.4,24206.0,24218.629
2026-07-08,10:25,12:20,12:30,24206.0,24195.4,24230.844
2026-07-08,10:35,12:30,12:40,24195.4,24204.7,24210.715
2026-07-08,10:45,12:40,12:50,24204.7,24219.3,24205.523
2026-07-08,10:55,12:50,13:00,24219.3,24225.25,24217.764
2026-07-08,11:05,13:00,13:10,24225.25,24216.95,24220.795
2026-07-08,11:15,13:10,13:20,24216.95,24225.65,24219.041
2026-07-08,11:25,13:20,13:30,24225.65,24208.8,24223.574
2026-07-08,11:35,13:30,13:40,24208.8,24205.15,24218.994
2026-07-08,11:45,13:40,13:50,24205.15,24064.25,24212.969
2026-07-08,11:55,13:50,14:00,24064.25,23976.4,24154.82
2026-07-08,12:05,14:00,14:10,23976.4,23897.6,24032.4
2026-07-08,12:15,14:10,14:20,23897.6,23905.3,23933.123
2026-07-08,12:25,14:20,14:30,23905.3,23882.65,23891.521
2026-07-08,12:35,14:30,14:40,23882.65,23863.25,23902.48
2026-07-08,12:45,14:40,14:50,23863.25,23820.65,23866.96
2026-07-08,12:55,14:50,15:00,23820.65,23854.25,23823.154
2026-07-08,13:05,15:00,15:10,23854.25,23883.35,23815.248
2026-07-08,13:15,15:10,15:20,23883.35,23900.95,23840.426
2026-07-09,09:15,11:10,11:20,24015.25,24039.7,24030.682
2026-07-09,09:25,11:20,11:30,24039.7,24061.4,24030.166
2026-07-09,09:35,11:30,11:40,24061.4,24056.45,24063.354
2026-07-09,09:45,11:40,11:50,24056.45,24047.05,24054.18
2026-07-09,09:55,11:50,12:00,24047.05,24073.9,24041.043
2026-07-09,10:05,12:00,12:10,24073.9,24060.4,24050.0
2026-07-09,10:15,12:10,12:20,24060.4,24065.2,24055.338
2026-07-09,10:25,12:20,12:30,24065.2,24044.1,24053.877
2026-07-09,10:35,12:30,12:40,24044.1,24023.35,24052.773
2026-07-09,10:45,12:40,12:50,24023.35,24049.5,24022.186
2026-07-09,10:55,12:50,13:00,24049.5,24046.0,24026.291
2026-07-09,11:05,13:00,13:10,24046.0,24051.65,24058.744
2026-07-09,11:15,13:10,13:20,24051.65,24037.4,24043.768
2026-07-09,11:25,13:20,13:30,24037.4,24060.75,24052.062
2026-07-09,11:35,13:30,13:40,24060.75,24069.35,24055.355
2026-07-09,11:45,13:40,13:50,24069.35,24054.1,24065.133
2026-07-09,11:55,13:50,14:00,24054.1,24046.7,24054.83
2026-07-09,12:05,14:00,14:10,24046.7,24049.0,24057.447
2026-07-09,12:15,14:10,14:20,24049.0,24051.3,24041.758
2026-07-09,12:25,14:20,14:30,24051.3,24067.75,24045.752
2026-07-09,12:35,14:30,14:40,24067.75,24026.15,24070.822
2026-07-09,12:45,14:40,14:50,24026.15,24033.2,24048.326
2026-07-09,12:55,14:50,15:00,24033.2,23968.7,24029.547
2026-07-09,13:05,15:00,15:10,23968.7,23940.5,23995.29
2026-07-09,13:15,15:10,15:20,23940.5,23969.65,23972.658
2026-07-10,09:15,11:10,11:20,24180.0,24175.55,24186.254
2026-07-10,09:25,11:20,11:30,24175.55,24167.25,24167.367
2026-07-10,09:35,11:30,11:40,24167.25,24163.1,24162.752
2026-07-10,09:45,11:40,11:50,24163.1,24157.35,24151.48
2026-07-10,09:55,11:50,12:00,24157.35,24178.85,24167.256
2026-07-10,10:05,12:00,12:10,24178.85,24164.75,24174.47
2026-07-10,10:15,12:10,12:20,24164.75,24172.8,24172.63
2026-07-10,10:25,12:20,12:30,24172.8,24183.8,24177.812
2026-07-10,10:35,12:30,12:40,24183.8,24188.25,24183.229
2026-07-10,10:45,12:40,12:50,24188.25,24189.0,24181.07
2026-07-10,10:55,12:50,13:00,24189.0,24197.25,24187.326
2026-07-10,11:05,13:00,13:10,24197.25,24185.8,24184.496
2026-07-10,11:15,13:10,13:20,24185.8,24164.0,24180.852
2026-07-10,11:25,13:20,13:30,24164.0,24185.45,24161.484
2026-07-10,11:35,13:30,13:40,24185.45,24196.75,24182.395
2026-07-10,11:45,13:40,13:50,24196.75,24194.5,24197.197
2026-07-10,11:55,13:50,14:00,24194.5,24192.8,24188.117
2026-07-10,12:05,14:00,14:10,24192.8,24186.45,24188.846
2026-07-10,12:15,14:10,14:20,24186.45,24202.05,24183.89
2026-07-10,12:25,14:20,14:30,24202.05,24204.75,24202.604
2026-07-10,12:35,14:30,14:40,24204.75,24208.5,24194.914
2026-07-10,12:45,14:40,14:50,24208.5,24201.7,24209.988
2026-07-10,12:55,14:50,15:00,24201.7,24198.55,24201.764
2026-07-10,13:05,15:00,15:10,24198.55,24208.65,24195.826
2026-07-10,13:15,15:10,15:20,24208.65,24209.1,24194.398
2026-07-13,09:15,11:10,11:20,24146.7,24146.65,24156.238
2026-07-13,09:25,11:20,11:30,24146.65,24148.35,24157.361
2026-07-13,09:35,11:30,11:40,24148.35,24130.65,24150.934
2026-07-13,09:45,11:40,11:50,24130.65,24142.05,24133.908
2026-07-13,09:55,11:50,12:00,24142.05,24154.25,24137.746
2026-07-13,10:05,12:00,12:10,24154.25,24182.0,24145.422
2026-07-13,10:15,12:10,12:20,24182.0,24183.95,24186.031
2026-07-13,10:25,12:20,12:30,24183.95,24202.75,24186.072
2026-07-13,10:35,12:30,12:40,24202.75,24214.75,24188.81
2026-07-13,10:45,12:40,12:50,24214.75,24238.55,24208.705
2026-07-13,10:55,12:50,13:00,24238.55,24211.2,24244.088
2026-07-13,11:05,13:00,13:10,24211.2,24222.0,24204.984
2026-07-13,11:15,13:10,13:20,24222.0,24201.8,24232.703
2026-07-13,11:25,13:20,13:30,24201.8,24185.05,24209.281
2026-07-13,11:35,13:30,13:40,24185.05,24191.0,24205.963
2026-07-13,11:45,13:40,13:50,24191.0,24192.0,24178.637
2026-07-13,11:55,13:50,14:00,24192.0,24200.85,24206.264
2026-07-13,12:05,14:00,14:10,24200.85,24215.35,24190.943
2026-07-13,12:15,14:10,14:20,24215.35,24229.3,24213.047
2026-07-13,12:25,14:20,14:30,24229.3,24233.7,24233.273
2026-07-13,12:35,14:30,14:40,24233.7,24227.95,24230.46
2026-07-13,12:45,14:40,14:50,24227.95,24250.35,24227.283
2026-07-13,12:55,14:50,15:00,24250.35,24227.4,24244.57
2026-07-13,13:05,15:00,15:10,24227.4,24205.7,24230.297
2026-07-13,13:15,15:10,15:20,24205.7,24202.4,24204.756
2026-07-14,09:15,11:10,11:20,24139.2,24138.8,24154.385
2026-07-14,09:25,11:20,11:30,24138.8,24128.85,24129.113
2026-07-14,09:35,11:30,11:40,24128.85,24105.0,24125.809
2026-07-14,09:45,11:40,11:50,24105.0,24109.65,24095.275
2026-07-14,09:55,11:50,12:00,24109.65,24107.15,24115.87
2026-07-14,10:05,12:00,12:10,24107.15,24091.9,24108.764
2026-07-14,10:15,12:10,12:20,24091.9,24080.7,24080.371
2026-07-14,10:25,12:20,12:30,24080.7,24066.5,24082.986
2026-07-14,10:35,12:30,12:40,24066.5,24079.15,24066.055
2026-07-14,10:45,12:40,12:50,24079.15,24082.45,24078.086
2026-07-14,10:55,12:50,13:00,24082.45,24083.8,24080.266
2026-07-14,11:05,13:00,13:10,24083.8,24081.45,24080.607
2026-07-14,11:15,13:10,13:20,24081.45,24089.3,24080.85
2026-07-14,11:25,13:20,13:30,24089.3,24075.2,24090.574
2026-07-14,11:35,13:30,13:40,24075.2,24052.15,24058.938
2026-07-14,11:45,13:40,13:50,24052.15,24060.35,24050.97
2026-07-14,11:55,13:50,14:00,24060.35,24065.25,24061.262
2026-07-14,12:05,14:00,14:10,24065.25,24064.45,24052.145
2026-07-14,12:15,14:10,14:20,24064.45,24056.3,24062.174
2026-07-14,12:25,14:20,14:30,24056.3,24057.3,24058.36
2026-07-14,12:35,14:30,14:40,24057.3,24051.2,24042.775
2026-07-14,12:45,14:40,14:50,24051.2,24030.35,24060.03
2026-07-14,12:55,14:50,15:00,24030.35,24060.25,24029.74
2026-07-14,13:05,15:00,15:10,24060.25,24052.05,24056.479
2026-07-14,13:15,15:10,15:20,24052.05,24043.3,24059.555
2026-07-15,09:15,11:10,11:20,24172.85,24181.65,24174.285
2026-07-15,09:25,11:20,11:30,24181.65,24210.95,24185.076
2026-07-15,09:35,11:30,11:40,24210.95,24174.4,24205.914
2026-07-15,09:45,11:40,11:50,24174.4,24177.5,24189.416
2026-07-15,09:55,11:50,12:00,24177.5,24181.9,24177.531
2026-07-15,10:05,12:00,12:10,24181.9,24191.05,24178.635
2026-07-15,10:15,12:10,12:20,24191.05,24186.15,24187.484
2026-07-15,10:25,12:20,12:30,24186.15,24166.65,24181.998
2026-07-15,10:35,12:30,12:40,24166.65,24160.1,24166.186
2026-07-15,10:45,12:40,12:50,24160.1,24125.95,24154.402
2026-07-15,10:55,12:50,13:00,24125.95,24069.25,24126.297
2026-07-15,11:05,13:00,13:10,24069.25,24054.4,24107.467
2026-07-15,11:15,13:10,13:20,24054.4,24072.4,24057.346
2026-07-15,11:25,13:20,13:30,24072.4,24063.0,24078.31
2026-07-15,11:35,13:30,13:40,24063.0,24061.6,24083.96
2026-07-15,11:45,13:40,13:50,24061.6,24053.1,24067.79
2026-07-15,11:55,13:50,14:00,24053.1,24077.4,24048.523
2026-07-15,12:05,14:00,14:10,24077.4,24086.45,24077.098
2026-07-15,12:15,14:10,14:20,24086.45,24072.25,24091.873
2026-07-15,12:25,14:20,14:30,24072.25,24075.2,24062.463
2026-07-15,12:35,14:30,14:40,24075.2,24101.5,24069.885
2026-07-15,12:45,14:40,14:50,24101.5,24082.6,24099.258
2026-07-15,12:55,14:50,15:00,24082.6,24073.7,24088.344
2026-07-15,13:05,15:00,15:10,24073.7,24077.75,24071.62
2026-07-15,13:15,15:10,15:20,24077.75,24086.3,24075.424
2026-07-16,09:15,11:10,11:20,24157.9,24151.75,24163.756
2026-07-16,09:25,11:20,11:30,24151.75,24150.6,24155.746
2026-07-16,09:35,11:30,11:40,24150.6,24149.5,24144.11
2026-07-16,09:45,11:40,11:50,24149.5,24152.75,24152.05
2026-07-16,09:55,11:50,12:00,24152.75,24138.65,24145.14
2026-07-16,10:05,12:00,12:10,24138.65,24133.9,24131.541
2026-07-16,10:15,12:10,12:20,24133.9,24138.2,24134.99
2026-07-16,10:25,12:20,12:30,24138.2,24146.5,24138.738
2026-07-16,10:35,12:30,12:40,24146.5,24130.4,24144.486
2026-07-16,10:45,12:40,12:50,24130.4,24125.6,24135.947
2026-07-16,10:55,12:50,13:00,24125.6,24125.05,24140.873
2026-07-16,11:05,13:00,13:10,24125.05,24120.6,24119.947
2026-07-16,11:15,13:10,13:20,24120.6,24114.3,24124.979
2026-07-16,11:25,13:20,13:30,24114.3,24090.55,24120.467
2026-07-16,11:35,13:30,13:40,24090.55,24053.05,24088.29
2026-07-16,11:45,13:40,13:50,24053.05,24075.25,24069.162
2026-07-16,11:55,13:50,14:00,24075.25,24091.75,24076.832
2026-07-16,12:05,14:00,14:10,24091.75,24094.15,24090.355
2026-07-16,12:15,14:10,14:20,24094.15,24090.6,24104.795
2026-07-16,12:25,14:20,14:30,24090.6,24095.15,24078.43
2026-07-16,12:35,14:30,14:40,24095.15,24096.0,24097.129
2026-07-16,12:45,14:40,14:50,24096.0,24096.35,24094.666
2026-07-16,12:55,14:50,15:00,24096.35,24067.7,24095.314
2026-07-16,13:05,15:00,15:10,24067.7,24071.1,24094.752
2026-07-16,13:15,15:10,15:20,24071.1,24058.9,24086.61
2026-07-17,09:15,11:10,11:20,24235.7,24246.2,24231.354
2026-07-17,09:25,11:20,11:30,24246.2,24252.6,24242.719
2026-07-17,09:35,11:30,11:40,24252.6,24267.2,24250.125
2026-07-17,09:45,11:40,11:50,24267.2,24279.0,24256.158
2026-07-17,09:55,11:50,12:00,24279.0,24274.85,24273.416
2026-07-17,10:05,12:00,12:10,24274.85,24276.55,24272.996
2026-07-17,10:15,12:10,12:20,24276.55,24281.75,24271.934
2026-07-17,10:25,12:20,12:30,24281.75,24281.15,24277.426
2026-07-17,10:35,12:30,12:40,24281.15,24277.05,24275.678
2026-07-17,10:45,12:40,12:50,24277.05,24273.9,24277.477
2026-07-17,10:55,12:50,13:00,24273.9,24279.85,24287.799
2026-07-17,11:05,13:00,13:10,24279.85,24282.55,24283.504
2026-07-17,11:15,13:10,13:20,24282.55,24266.45,24278.146
2026-07-17,11:25,13:20,13:30,24266.45,24265.7,24275.836
2026-07-17,11:35,13:30,13:40,24265.7,24254.25,24267.902
2026-07-17,11:45,13:40,13:50,24254.25,24232.0,24263.24
2026-07-17,11:55,13:50,14:00,24232.0,24250.35,24224.484
2026-07-17,12:05,14:00,14:10,24250.35,24280.55,24261.7
2026-07-17,12:15,14:10,14:20,24280.55,24297.45,24281.168
2026-07-17,12:25,14:20,14:30,24297.45,24298.0,24279.121
2026-07-17,12:35,14:30,14:40,24298.0,24317.65,24281.908
2026-07-17,12:45,14:40,14:50,24317.65,24320.95,24305.86
2026-07-17,12:55,14:50,15:00,24320.95,24322.05,24311.088
2026-07-17,13:05,15:00,15:10,24322.05,24328.75,24300.389
2026-07-17,13:15,15:10,15:20,24328.75,24342.8,24309.838
