date,window_start,predict_from,predict_to,given_end_price,actual_close,predicted_close
2026-07-07,12:25,14:20,14:30,831.6,831.75,831.35065
2026-07-07,12:35,14:30,14:40,831.75,832.15,831.14746
2026-07-07,12:45,14:40,14:50,832.15,832.4,831.78204
2026-07-07,12:55,14:50,15:00,832.4,829.95,831.8711
2026-07-07,13:05,15:00,15:10,829.95,829.3,830.2637
2026-07-07,13:15,15:10,15:20,829.3,828.05,829.44464
2026-07-08,09:15,11:10,11:20,828.15,826.85,827.93536
2026-07-08,09:25,11:20,11:30,826.85,827.0,826.4326
2026-07-08,09:35,11:30,11:40,827.0,826.45,827.1345
2026-07-08,09:45,11:40,11:50,826.45,826.95,827.01605
2026-07-08,09:55,11:50,12:00,826.95,826.95,827.69794
2026-07-08,10:05,12:00,12:10,826.95,826.6,826.9375
2026-07-08,10:15,12:10,12:20,826.6,827.05,827.4796
2026-07-08,10:25,12:20,12:30,827.05,825.5,827.13556
2026-07-08,10:35,12:30,12:40,825.5,826.4,826.2106
2026-07-08,10:45,12:40,12:50,826.4,826.95,827.0325
2026-07-08,10:55,12:50,13:00,826.95,827.15,826.4915
2026-07-08,11:05,13:00,13:10,827.15,827.5,827.21423
2026-07-08,11:15,13:10,13:20,827.5,829.45,826.4868
2026-07-08,11:25,13:20,13:30,829.45,828.8,829.55347
2026-07-08,11:35,13:30,13:40,828.8,826.8,828.41064
2026-07-08,11:45,13:40,13:50,826.8,821.55,826.8572
2026-07-08,11:55,13:50,14:00,821.55,814.5,823.42645
2026-07-08,12:05,14:00,14:10,814.5,812.85,815.8693
2026-07-08,12:15,14:10,14:20,812.85,813.05,812.7469
2026-07-08,12:25,14:20,14:30,813.05,811.4,812.2356
2026-07-08,12:35,14:30,14:40,811.4,810.75,811.2481
2026-07-08,12:45,14:40,14:50,810.75,807.8,810.0098
2026-07-08,12:55,14:50,15:00,807.8,809.75,808.4954
2026-07-08,13:05,15:00,15:10,809.75,811.15,806.4014
2026-07-08,13:15,15:10,15:20,811.15,810.35,809.6698
2026-07-09,09:15,11:10,11:20,819.0,818.65,819.34937
2026-07-09,09:25,11:20,11:30,818.65,819.35,819.0456
2026-07-09,09:35,11:30,11:40,819.35,818.85,818.95264
2026-07-09,09:45,11:40,11:50,818.85,817.7,818.3084
