timestamps,open,high,low,close,volume,amount
2023-11-16,754.8,759.5,751.9,754.2,29713838,22410176619.600002
2023-11-17,745.0,753.8,744.5,752.6,23701874,17838030372.4
2023-11-20,756.5,756.5,750.8,752.6,19331452,14548850775.2
2023-11-21,759.5,761.0,756.0,759.0,24959972,18944618748.0
2023-11-22,760.0,760.0,751.8,756.3,29123650,22026216495.0
2023-11-23,754.2,761.9,754.2,760.6,13046220,9922954932.0
2023-11-24,760.6,766.6,759.9,766.0,16469192,12615401072.0
2023-11-28,767.6,768.6,762.9,764.3,28489338,21774401033.399998
2023-11-29,767.0,781.5,766.5,779.6,34042488,26539523644.8
2023-11-30,784.6,786.2,771.1,779.4,69491440,54161628336.0
2023-12-01,779.0,782.9,776.0,777.7,22153536,17228804947.2
2023-12-04,794.0,806.0,786.8,804.7,50662456,40768078343.200005
2023-12-05,818.2,819.5,808.2,811.8,52230820,42400979676.0
2023-12-06,819.2,819.2,808.3,813.9,38613060,31427169534.0
2023-12-07,812.5,817.0,808.1,815.2,20450386,16671154667.2
2023-12-08,815.2,827.5,815.2,826.6,33728038,27879596210.8
2023-12-11,825.0,831.8,823.5,825.5,23187620,19141380310.0
2023-12-12,827.1,828.1,815.9,817.3,36581476,29898040334.8
2023-12-13,816.2,818.0,807.6,815.4,29346914,23929473675.6
2023-12-14,823.0,829.5,822.5,825.1,35172366,29020719186.600002
2023-12-15,825.0,834.0,823.3,828.3,138837130,114998794779.0
2023-12-18,830.4,832.4,825.5,827.8,18014754,14912613361.199999
2023-12-19,825.0,829.3,822.0,826.4,24008446,19840579774.399998
2023-12-20,829.0,834.5,822.2,828.5,34232520,28361642820.0
2023-12-21,828.5,844.9,825.1,843.4,36589240,30859365016.0
2023-12-22,841.8,843.0,833.6,835.4,48578850,40582771290.0
2023-12-26,836.6,843.0,834.3,841.2,18045856,15180174067.2
2023-12-27,840.8,853.2,839.3,851.6,27009078,23000930824.8
2023-12-28,854.6,860.7,851.0,852.6,44076470,37579598322.0
2023-12-29,848.5,857.4,848.0,854.6,25011426,21374764659.600002
2024-01-01,853.0,854.6,846.0,849.0,14239686,12089493414.0
2024-01-02,849.4,851.4,844.4,849.6,29242092,24844081363.2
2024-01-03,851.0,852.4,834.5,836.4,28389762,23745196936.8
2024-01-04,839.0,847.5,835.4,845.4,26734056,22600970942.399998
2024-01-05,843.6,852.4,834.0,841.1,31889470,26822233217.0
2024-01-08,839.2,841.2,830.0,831.7,17998470,14969327499.0
2024-01-09,833.6,838.9,823.4,825.2,25326888,20899747977.600002
2024-01-10,821.5,830.0,820.7,828.0,16115824,13343902272.0
2024-01-11,830.0,831.4,821.5,824.5,18314010,15099901245.0
2024-01-12,826.0,828.0,816.8,820.6,19773552,16226176771.2
2024-01-15,823.8,840.4,821.8,836.4,28320356,23687145758.399998
2024-01-16,836.5,841.8,829.0,839.6,25322500,21260771000.0
2024-01-17,785.0,798.4,764.2,768.8,170145236,130807657436.79999
2024-01-18,747.0,757.5,740.0,743.1,161070930,119691808083.0
2024-01-19,753.0,755.1,734.2,735.3,109600538,80589275591.4
2024-01-20,741.6,747.8,738.0,739.4,25840586,19106529288.399998
2024-01-23,732.5,737.4,712.5,713.7,115469402,82410512207.40001
2024-01-24,690.1,729.2,690.1,728.0,86004404,62611206112.0
2024-01-25,726.2,728.7,709.7,717.4,98941852,70980884624.8
2024-01-29,724.0,731.4,722.9,727.3,65645498,47743970695.399994
2024-01-30,727.3,731.6,720.4,722.2,41728768,30136516249.600002
2024-01-31,719.8,737.5,718.4,731.3,65761040,48091048552.0
2024-02-01,732.5,736.8,728.0,733.2,32690740,23968850568.0
2024-02-02,737.5,740.4,721.0,723.1,44867754,32443872917.4
2024-02-05,723.0,726.0,717.0,722.4,38605046,27888285230.399998
2024-02-06,722.8,724.8,716.3,722.0,41075740,29656684280.0
2024-02-07,726.5,726.9,713.3,715.0,54837086,39208516490.0
2024-02-08,714.9,719.5,700.2,701.5,69106124,48477945986.0
2024-02-09,696.1,707.1,693.5,701.8,56642124,39751442623.2
2024-02-12,699.8,706.8,691.7,695.0,34447812,23941229340.0
2024-02-13,696.0,702.2,692.2,697.2,57580994,40145469016.8
2024-02-14,688.0,695.8,681.8,692.0,91320810,63194000520.0
2024-02-15,692.5,707.8,692.2,707.0,41584944,29400555408.0
2024-02-16,712.0,713.8,704.2,710.0,32175742,22844776820.0
2024-02-19,714.5,714.5,707.6,708.6,34451756,24412514301.600002
2024-02-20,707.5,728.6,705.9,727.2,56133508,40820287017.600006
2024-02-21,732.0,732.0,717.5,719.6,45893136,33024700665.600002
2024-02-22,708.9,714.4,706.1,709.8,50560882,35888114043.6
2024-02-23,711.3,717.0,709.0,710.3,29833452,21190700955.6
2024-02-26,706.8,717.4,706.8,711.2,23506870,16718085944.000002
2024-02-27,706.8,713.4,706.5,710.1,32087150,22785085215.0
2024-02-28,710.1,712.1,702.0,704.7,25321986,17844403534.2
2024-02-29,701.0,705.2,698.6,701.7,53295700,37397592690.0
2024-03-01,700.0,716.4,700.0,715.4,34738898,24852207629.2
2024-03-02,717.3,718.0,714.0,715.4,1790530,1280945162.0
2024-03-04,715.5,718.5,712.2,716.4,35616474,25515641973.6
2024-03-05,711.0,721.5,710.8,720.4,37991672,27369200508.8
2024-03-06,716.8,726.4,716.8,721.3,42409530,30589993988.999996
2024-03-07,722.8,725.5,720.7,723.0,49348046,35678637258.0
2024-03-11,715.0,723.0,711.5,713.9,50531094,36074148006.6
2024-03-12,717.0,732.0,714.6,729.8,65418454,47742387729.2
2024-03-13,732.8,735.8,725.0,730.2,63067454,46051854910.8
2024-03-14,731.0,733.0,722.2,727.7,52432158,38154881376.600006
2024-03-15,725.0,729.6,721.1,726.3,143613804,104306705845.2
2024-03-18,723.5,728.0,717.9,723.0,21437856,15499569888.0
2024-03-19,717.8,726.2,717.8,724.7,36183594,26222250571.800003
2024-03-20,724.5,725.8,712.3,715.5,43606094,31200160257.0
2024-03-21,721.3,725.6,719.2,722.9,28922860,20908335494.0
2024-03-22,720.5,725.4,718.9,721.4,45980326,33170207176.399998
2024-03-26,713.6,719.0,711.1,712.7,56844290,40512925483.0
2024-03-27,711.8,724.0,710.6,720.4,62168668,44786308427.2
2024-03-28,720.4,730.2,720.4,724.0,55592142,40248710808.0
2024-04-01,729.0,736.9,727.8,735.2,25199570,18526723864.0
2024-04-02,732.6,747.4,731.6,740.1,41225446,30510952584.600002
2024-04-03,736.0,747.8,735.7,741.2,45584386,33787146903.2
2024-04-04,752.0,765.0,752.0,763.8,88935066,67928603410.799995
2024-04-05,769.5,777.2,765.1,774.8,59055902,45756512869.6
2024-04-08,777.5,778.6,770.8,773.3,20482940,15839457502.0
2024-04-09,777.4,777.4,770.2,774.3,21884494,16945163704.199999
